Day,Date,Lecture Number,Hour,Class Type,Milestone,Topics Covered,Reading (10e),Reading (9e),Reading (Mealy)
Monday,2018-08-06,1,14,Lecture,,"Introduction, history, performance",1.1 – 1.3,"1.1 – 1.2, 2.1",
Monday,2018-08-06,1,15,Lecture,,"Analog vs. digital, Boolean algebra, equivalence laws",11.1 – 11.2,11.1 – 11.2,5.1 – 5.2.2
Tuesday,2018-08-07,2,14,Lecture,,"Gates, truth tables",11.2 – 11.3,11.2 – 11.3,"5.2.3, 6, 8, 9.1 – 9.2.2"
Tuesday,2018-08-07,2,15,Lecture,,"Karnaugh maps, minimization",11.3,11.3,9.2.3 – 9.2.4
Wednesday,2018-08-08,3,14,Lecture,,"Timing, combinational circuit building blocks",11.3,11.3,"7.1 – 7.4, 20"
Wednesday,2018-08-08,3,15,Discussion,,Combinational circuit problems,,,
Thursday,2018-08-09,4,14,Lecture,,Combinational circuit building blocks,11.3,11.3,"11.1 – 11.3, 19"
Thursday,2018-08-09,4,15,Quiz,Quiz 1,Quiz 1 through 2018-08-08,,,
Monday,2018-08-13,5,14,Lecture,,"Arithmetic logic, parity","5.2, 10.2","5.2, 10.2",11.4 – 11.5
Monday,2018-08-13,5,15,Lecture,,Error correction,5.2,5.2,
Tuesday,2018-08-14,6,14,Lecture,,"Error correction, sequential circuits","5.2, 11.4","5.2, 11.4",25.1
Tuesday,2018-08-14,6,15,Lecture,,"Latches, flip flops",11.4,11.4,25.2
Wednesday,2018-08-15,7,14,Lecture,Lab 1,"Flip flop timing, registers",11.4,11.4,
Wednesday,2018-08-15,7,15,Discussion,,Error correction and sequential circuit problems,,,
Thursday,2018-08-16,8,14,Lecture,,"Counters, finite state machine introduction",11.4,11.4,26.1 – 26.3
Thursday,2018-08-16,8,15,Quiz,Quiz 2,"Go over Quiz 1, Quiz 2 through 2018-08-15",,,
Monday,2018-08-20,9,14,Lecture,,Moore model FSM basics,,,"26.4 – 26.5, 27.1 – 27.2"
Monday,2018-08-20,9,15,Lecture,,"Moore model FSM basics, minimization",,,"26.4 – 26.5, 27.1 – 27.2"
Tuesday,2018-08-21,10,14,Lecture,,Moore model FSM minimization,,,29.1 – 29.4
Tuesday,2018-08-21,10,15,Lecture,,"Mealy model FSM basics, minimization",,,29.1 – 29.4
Wednesday,2018-08-22,11,14,Lecture,,"Mealy model FSM minimization, vending machine FSM",,,
Wednesday,2018-08-22,11,15,Discussion,,Review for midterm,,,
Thursday,2018-08-23,12,14,Exam,MIDTERM,Midterm through 2018-08-22,,,
Thursday,2018-08-23,12,15,Exam,MIDTERM,Midterm through 2018-08-22,,,
Monday,2018-08-27,13,14,Lecture,Lab 2,"Von Neumann architecture, single bus machine",3.1 – 3.3,3.1 – 3.3,
Monday,2018-08-27,13,15,Lecture,,"Multiple bus machines, RISC versus CISC, buses","3.4, 15.4","3.4, 15.4",
Tuesday,2018-08-28,14,14,Lecture,,Buses,3.4,3.4,
Tuesday,2018-08-28,14,15,Lecture,,"Buses, interrupts","3.2, 3.4","3.2, 3.4",
Wednesday,2018-08-29,15,14,Lecture,,"Interrupts, memory","3.2, 4.1","3.2, 4.1",
Wednesday,2018-08-29,15,15,Discussion,,Single bus machine and bus problems,,,
Thursday,2018-08-30,16,14,Lecture,,"Memory, memory hierarchy",4.1,4.1,
Thursday,2018-08-30,16,15,Discussion,,"Go over midterm, Lab 3 discussion",,,
Monday,2018-09-03,17,14,Holiday,,LABOR DAY,,,
Monday,2018-09-03,17,15,Holiday,,LABOR DAY,,,
Tuesday,2018-09-04,18,14,Lecture,,Cache basics,4.2 – 4.3,4.2 – 4.3,
Tuesday,2018-09-04,18,15,Lecture,,"Cache addressing, direct-mapped caches",4.2 – 4.3,4.2 – 4.3,
Wednesday,2018-09-05,19,14,Lecture,Lab 3,"Fully-associative caches, set-associative caches",4.2 – 4.3,4.2 – 4.3,
Wednesday,2018-09-05,19,15,Discussion,,Cache parameter problems,,,
Thursday,2018-09-06,20,14,Lecture,,"Set-associative caches, replacement and write policies",4.2 – 4.3,4.2 – 4.3,
Thursday,2018-09-06,20,15,Quiz,Quiz 3,"Lab 4 discussion, Quiz 3 through 2018-09-05",,,
Monday,2018-09-10,21,14,Lecture,,Operating systems,8.1,8.1,
Monday,2018-09-10,21,15,Lecture,,"Memory management, virtual vs. physical addresses",8.3,8.3,
Tuesday,2018-09-11,22,14,Lecture,,Virtual memory overview,8.3,8.3,
Tuesday,2018-09-11,22,15,Lecture,,"Virtual memory address layout, address translation",8.3,8.3,
Wednesday,2018-09-12,23,14,Lecture,,"Virtual memory address translation, scheduling (if time)",8.2 – 8.3,8.2 – 8.3,
Wednesday,2018-09-12,23,15,Discussion,,Review for final,,,
Thursday,2018-09-13,24,14,Exam,Lab 4,Cumulative final,,,
Thursday,2018-09-13,24,15,Exam,FINAL,Cumulative final,,,
